#Category	Name	Featured	ShortDescription	Size	Price	Description	Ingredients	recipe
	GROUNDED		Red Clay and Oatmeal Face wash/Mask	Full Size	1,550	Grounded, removes the dirt and oil that clog the pores and provides a gentle exfoliation for the skin. Geru - Red clay is a natural skin coolant . Together with Rose essential oil and Almond butter, this mild face wash removes signs of sun damage like freckles and skin burn.		
	BALM CLEANSER		Pink French clay and mango butter cleanser.	Full Size	1,700	Made with Mango butter and citrus oils, this is a one step skincare. It moisturizes and cleans in just one step.		
	BLACK MAGIC		Charcoal and Oatmeal Face wash & Facemask	Full Size	1,550	Activated charcoal helps bind the oil and dirt in your pores and pulls them out. Tea tree oil's antiseptic, antimicrobial, and antibacterial woundhealing properties may help make scars less visible. Thyme essential oil is a champ at killing microbes. Rose helps to relax and reduce stress, and it stimulates hormones of happiness like serotonin.		
	SOAPS		All soaps are made to order based on the Essential Oil preference of the Customer.		Rs 450	Poppy seed Scrub Soap | Charcoal soap | Layered Scrub soaps | Loofah Scrub Soaps | Oatmeal Scrub Soaps | Vetiver root Scrub soaps		
Balms	PMS BUSTER		Pain relief balm	Full Size	2,500	Made with magical healing oils, blend with a touch of ginger, rosemary, vetiver and thyme to provide an even layer of pain relief.		
	PUCKER UP		Lemon and Mandarin Lip balm	Full Size	475	Kokum butter comes alive with a sparkly blend of cooling and citrus notes for a mild depigmentation action.		
	NEEM DREAM		Neem, Mint and Saffron healing salve	Full Size	2,500	Ideal for managing irritation caused by Psoriasis, Eczema and Prickly heat. Neel oil combined with wild turmeric and mint are the key ingredients to this skin potion. It also contains Oils of Argan, Black seed and heaps of Saffron.		
	INVOLVE		Rosemary and Peppermint Lip balm	Full Size	475	Rosemary essential oil has antiseptic properties and a fresh herbaceous aroma. Beeswax softens lips and seals in moisture for lasting protection. It is also antibacterial, high in vitamin A, and soothes dry and flaky skin. Together with sweet almond oil, it is a healing shine for your lip.		
	INFUSE		Floral Lip balm	Full Size	475	Scented mildly with lavender this Lip balm helps in treating peeling, cracking and chapped Lips. Blend with a touch of healing carrot seed oil , this Balm helps restore dry lips back to baby lips, all soft and plush.		
Indian Oils	Jasmine		lorem ipsum dolor	90 ml	2,000	This is the description of Jasmine	Jasmine, Lavender, Rose, Sandalwood	
	Rosemary		lorem ipsum dolor	90 ml	2,000	This is the description of Rosemary	Rosemary, Thyme, Fenugreek	
